RV Type,Stock No,Price,MSRP,Location,URL
Travel Trailer,UT700146,$14995.00,$18848,Bakersfield CA,https://www.bluecompassrv.com/product/used-2015-keystone-rv-bullet-bullet-212rbswe-2814518-29
Travel Trailer,UT700163,$15925.00,$14250,Bakersfield CA,https://www.bluecompassrv.com/product/used-2017-keystone-rv-passport-elite-passport-elite-23rb-2902996-29
Travel Trailer,UT700151,$15995.00,$22471,Bakersfield CA,https://www.bluecompassrv.com/product/used-2017-keystone-rv-hideout-hideout-21fqwe-2859437-29
Travel Trailer,UT700141,$18995.00,$27550,Bakersfield CA,https://www.bluecompassrv.com/product/used-2023-dutchmen-rv-coleman-rubicon-1200-series-1400bh-2772805-29
Travel Trailer,CT700153,$18995.00,$19000,Bakersfield CA,https://www.bluecompassrv.com/product/used-2017-forest-river-rv-cherokee-grey-wolf-17bh-2822653-29
Travel Trailer,UT700148,$19995.00,$19851,Bakersfield CA,https://www.bluecompassrv.com/product/used-2020-forest-river-rv-vibe-16rb-2828293-29
Travel Trailer,UT700165,$22995.00,$29475,Bakersfield CA,https://www.bluecompassrv.com/product/used-2022-jayco-jay-flight-slx-western-edition-jay-flightslx-212qbw-2892439-29
Travel Trailer,UT700124,$38995.00,$68495,Bakersfield CA,https://www.bluecompassrv.com/product/used-2024-jayco-white-hawk-32qbh-2718966-29
Travel Trailer,UT900396,$23799.00,$24700,San Marcos CA,https://www.bluecompassrv.com/product/used-2023-forest-river-rv-rockwood-geo-pro-g15tb-2864188-29
Travel Trailer,UT21000058,$24375.00,$26600,San Marcos CA,https://www.bluecompassrv.com/product/used-2019-lance-lance-travel-trailers-1685-2899603-29
Travel Trailer,UT900398,$25675.00,$28500,San Marcos CA,https://www.bluecompassrv.com/product/used-2022-forest-river-rv-cherokee-grey-wolf-29te-2878378-29
Travel Trailer,CT900352,$29851.00,$36100,San Marcos CA,https://www.bluecompassrv.com/product/used-2018-lance-lance-travel-trailers-2375-2768100-29
Travel Trailer,CT900412,$29890.00,$38000,San Marcos CA,https://www.bluecompassrv.com/product/used-2024-forest-river-rv-rockwood-geo-pro-g19bh-2902973-29
Travel Trailer,CT900356,$33780.00,$43700,San Marcos CA,https://www.bluecompassrv.com/product/used-2023-keystone-rv-passport-gt-2400rb-2775764-29
Travel Trailer,UT21000056,$58900.00,$80203,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2022-airstream-rv-caravel-22fb-2890053-29
Travel Trailer,CT21000048,$62995.00,$85500,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2019-airstream-rv-flying-cloud-20fb-2830835-29
Travel Trailer,CT21000040,$66990.00,$110200,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2018-airstream-rv-tommy-bahama-19cb-2745226-29
Travel Trailer,UT920233,$66995.00,$89300,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2017-airstream-rv-international-signature-international-signature-25-twin-2793290-29
Travel Trailer,UT21000048,$69900.00,$95000,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2019-airstream-rv-international-serenity-23fb-2885961-29
Travel Trailer,CT21000059,$74062.50,$96900,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2014-airstream-rv-classic-31-2898158-29
Travel Trailer,UT21000043,$79990.00,$104500,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2020-airstream-rv-globetrotter-23fb-twin-2804902-29
Travel Trailer,UT21000054,$95900.00,$136800,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2018-airstream-rv-tommy-bahama-27fb-2890055-29
Travel Trailer,CT21000061,$97812.50,$131100,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2021-airstream-rv-international-25fb-2909260-29
Travel Trailer,UT920266,$115900.00,$171000,Airstream of San Diego,https://www.bluecompassrv.com/product/used-2019-airstream-rv-classic-classic-rbq33-2852198-29
Travel Trailer,UT920283,$16995.00,$9500,Palm Desert CA,https://www.bluecompassrv.com/product/used-2016-pacific-coachworks-mighty-lite-m16rb-2898183-29
Travel Trailer,UT910092,$24998.00,$24700,Santee CA,https://www.bluecompassrv.com/product/used-2022-forest-river-rv-flagstaff-e-pro-flagstaff-e-pro-19fbs-2882357-29
Travel Trailer,UT910089,$29998.00,$34200,Santee CA,https://www.bluecompassrv.com/product/used-2021-keystone-rv-cougar-half-ton-22rbs-2891037-29
Travel Trailer,CT910096,$34062.50,$39900,Santee CA,https://www.bluecompassrv.com/product/used-2022-winnebago-industries-towables-micro-minnie-2306bhs-2898182-29
Travel Trailer,CT910086,$34251.00,$43700,Santee CA,https://www.bluecompassrv.com/product/used-2023-keystone-rv-passport-gt-passport-gt-2400rbwe-2869619-29
Travel Trailer,UT720182,$13990.00,$21832,Las Vegas NV,https://www.bluecompassrv.com/product/used-2022-forest-river-rv-cherokee-wolf-pup-16fq-2633719-29
Travel Trailer,UT720262,$24995.00,$35024,Las Vegas NV,https://www.bluecompassrv.com/product/used-2023-jayco-jay-feather-micro-173mrb-2901418-29
Travel Trailer,CT720260,$28687.50,$34580,Las Vegas NV,https://www.bluecompassrv.com/product/used-2022-jayco-jay-feather-26rl-2889633-29
Travel Trailer,UT720238,$29995.00,$36757,Las Vegas NV,https://www.bluecompassrv.com/product/used-2022-heartland-north-trail-25rbp-2838559-29
Travel Trailer,CT720264,$32995.00,$45600,Las Vegas NV,https://www.bluecompassrv.com/product/used-2024-forest-river-rv-flagstaff-e-pro-e19fbs-2907213-29
Travel Trailer,UT720225,$33995.00,$44257,Las Vegas NV,https://www.bluecompassrv.com/product/used-2024-jayco-jay-feather-21mml-2804625-29
Travel Trailer,CT720261,$41562.50,$51300,Las Vegas NV,https://www.bluecompassrv.com/product/used-2020-lance-lance-travel-trailers-2445-2889631-29
Travel Trailer,UT201153,$8995.00,$5700,Manteca CA,https://www.bluecompassrv.com/product/used-2017-riverside-rv-retro-509-jr-dot--2904364-29
Travel Trailer,UT201090,$16995.00,$27550,Manteca CA,https://www.bluecompassrv.com/product/used-2019-keystone-rv-bullet-202bhswe-2759826-29
Travel Trailer,CT201105,$23495.00,$35150,Manteca CA,https://www.bluecompassrv.com/product/used-2023-jayco-jay-flight-224bhw-2794892-29
Travel Trailer,CT201089,$24777.00,$38000,Manteca CA,https://www.bluecompassrv.com/product/used-2022-jayco-jay-feather-micro-171bh-2758469-29
Travel Trailer,UT201124,$24995.00,$37050,Manteca CA,https://www.bluecompassrv.com/product/used-2022-forest-river-rv-cherokee-264rl-2836405-29
Travel Trailer,CT201147,$28888.00,$39900,Manteca CA,https://www.bluecompassrv.com/product/used-2023-jayco-jay-feather-micro-166fbs-2879593-29
